id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Gold Chain Dreams,BeatCraft,hip-hop,confident,0.80,96,0.73,0.87,0.08
12,Porch Light,River Roads,country,sad,0.31,68,0.38,0.44,0.91
13,Shatter the Sky,Iron Curtain,metal,intense,0.97,175,0.30,0.55,0.04
14,Moonlight Sonata (Remaster),Clara V.,classical,relaxed,0.22,66,0.62,0.28,0.97
15,Late Night Feelings,Sable Moon,r&b,romantic,0.55,88,0.79,0.70,0.41
16,Drop Everything,Circuit Blaze,electronic,energetic,0.94,140,0.68,0.91,0.03
17,Island Sunset,Rootsman,reggae,chill,0.46,82,0.80,0.65,0.67
18,River Pebbles,Hollow Pine,folk,nostalgic,0.29,74,0.55,0.39,0.93
